refDes,stage,instrument,zarrFile,nearestNeighbors,dataParameters,depths,depthMinMax,decimationAlgo
CE04OSPS-SF01B-3A-FLORTD104,1,FLR-PROFILER,CE04OSPS-SF01B-3A-FLORTD104-streamed-flort_d_data_record,None,"""time,fluorometric_chlorophyll_a,fluorometric_cdom,optical_backscatter,int_ctd_pressure,raw_signal_chl,raw_signal_beta,raw_signal_cdom""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS01SBPS-SF01A-3A-FLORTD101,1,FLR-PROFILER,RS01SBPS-SF01A-3A-FLORTD101-streamed-flort_d_data_record,None,"""time,fluorometric_chlorophyll_a,fluorometric_cdom,optical_backscatter,int_ctd_pressure,raw_signal_chl,raw_signal_beta,raw_signal_cdom""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS03AXPS-SF03A-3A-FLORTD301,1,FLR-PROFILER,RS03AXPS-SF03A-3A-FLORTD301-streamed-flort_d_data_record,None,"""time,fluorometric_chlorophyll_a,fluorometric_cdom,optical_backscatter,int_ctd_pressure,raw_signal_chl,raw_signal_beta,raw_signal_cdom""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
CE04OSPS-SF01B-4A-NUTNRA102,1,NUT-PROFILER,CE04OSPS-SF01B-4A-NUTNRA102-streamed-nutnr_a_sample,None,"""time,salinity_corrected_nitrate,int_ctd_pressure,spectral_channels,nutnr_dark_value_used_for_fit,nutnr_absorbance_at_254_nm,nutnr_absorbance_at_350_nm,nutnr_fit_rmse,sea_water_temperature,sea_water_practical_salinity,frame_type,nutnr_spectrum_average""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS01SBPS-SF01A-4A-NUTNRA101,1,NUT-PROFILER,RS01SBPS-SF01A-4A-NUTNRA101-streamed-nutnr_a_sample,None,"""time,salinity_corrected_nitrate,int_ctd_pressure,spectral_channels,nutnr_dark_value_used_for_fit,nutnr_absorbance_at_254_nm,nutnr_absorbance_at_350_nm,nutnr_fit_rmse,sea_water_temperature,sea_water_practical_salinity,frame_type,nutnr_spectrum_average""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS03AXPS-SF03A-4A-NUTNRA301,1,NUT-PROFILER,RS03AXPS-SF03A-4A-NUTNRA301-streamed-nutnr_a_sample,None,"""time,salinity_corrected_nitrate,int_ctd_pressure,spectral_channels,nutnr_dark_value_used_for_fit,nutnr_absorbance_at_254_nm,nutnr_absorbance_at_350_nm,nutnr_fit_rmse,sea_water_temperature,sea_water_practical_salinity,frame_type,nutnr_spectrum_average""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
CE04OSPS-SF01B-3C-PARADA102,1,PAR-PROFILER,CE04OSPS-SF01B-3C-PARADA102-streamed-parad_sa_sample,None,"""time,par_counts_output,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS01SBPS-SF01A-3C-PARADA101,1,PAR-PROFILER,RS01SBPS-SF01A-3C-PARADA101-streamed-parad_sa_sample,None,"""time,par_counts_output,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS03AXPS-SF03A-3C-PARADA301,1,PAR-PROFILER,RS03AXPS-SF03A-3C-PARADA301-streamed-parad_sa_sample,None,"""time,par_counts_output,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
CE04OSPS-SF01B-4F-PCO2WA102,1,PCO2-PROFILER,CE04OSPS-SF01B-4F-PCO2WA102-streamed-pco2w_a_sami_data_record,None,"""time,pco2_seawater,int_ctd_pressure,light_measurements,pco2w_a_absorbance_blank_434,pco2w_a_absorbance_blank_620""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
CE04OSPS-PC01B-4D-PCO2WA105,1,PCO2-FIXED,CE04OSPS-PC01B-4D-PCO2WA105-streamed-pco2w_a_sami_data_record,None,"""time,pco2_seawater,int_ctd_pressure,light_measurements,pco2w_a_absorbance_blank_434,pco2w_a_absorbance_blank_620""",Single,None,lttb
RS01SBPS-SF01A-4F-PCO2WA101,1,PCO2-PROFILER,RS01SBPS-SF01A-4F-PCO2WA101-streamed-pco2w_a_sami_data_record,None,"""time,pco2_seawater,int_ctd_pressure,light_measurements,pco2w_a_absorbance_blank_434,pco2w_a_absorbance_blank_620""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS03AXPS-SF03A-4F-PCO2WA301,1,PCO2-PROFILER,RS03AXPS-SF03A-4F-PCO2WA301-streamed-pco2w_a_sami_data_record,None,"""time,pco2_seawater,int_ctd_pressure,light_measurements,pco2w_a_absorbance_blank_434,pco2w_a_absorbance_blank_620""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
CE02SHBP-LJ01D-09-PCO2WB103,1,PCO2-FIXED,CE02SHBP-LJ01D-09-PCO2WB103-streamed-pco2w_b_sami_data_record,None,"""time,pco2_seawater,int_ctd_pressure,light_measurements,pco2w_a_absorbance_blank_434,pco2w_a_absorbance_blank_620""",Single,None,lttb
CE04OSBP-LJ01C-09-PCO2WB104,1,PCO2-FIXED,CE04OSBP-LJ01C-09-PCO2WB104-streamed-pco2w_b_sami_data_record,None,"""time,pco2_seawater,int_ctd_pressure,light_measurements,pco2w_a_absorbance_blank_434,pco2w_a_absorbance_blank_620""",Single,None,lttb
CE04OSPS-SF01B-2B-PHSENA108,1,PH-PROFILER,CE04OSPS-SF01B-2B-PHSENA108-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure,ph_light_measurements,reference_light_measurements""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
CE04OSPS-PC01B-4B-PHSENA106,1,PH-FIXED,CE04OSPS-PC01B-4B-PHSENA106-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure,ph_light_measurements,reference_light_measurements""",Single,None,lttb
RS01SBPS-PC01A-4B-PHSENA102,1,PH-FIXED,RS01SBPS-PC01A-4B-PHSENA102-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure,ph_light_measurements,reference_light_measurements""",Single,None,lttb
RS01SBPS-SF01A-2D-PHSENA101,1,PH-PROFILER,RS01SBPS-SF01A-2D-PHSENA101-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure,ph_light_measurements,reference_light_measurements""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS03AXPS-PC03A-4B-PHSENA302,1,PH-FIXED,RS03AXPS-PC03A-4B-PHSENA302-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure,ph_light_measurements,reference_light_measurements""",Single,None,lttb
RS03AXPS-SF03A-2D-PHSENA301,1,PH-PROFILER,RS03AXPS-SF03A-2D-PHSENA301-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure,ph_light_measurements,reference_light_measurements""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
CE04OSPS-PC01B-4C-PHSENH109,1,PH-CTD-FIXED,CE04OSPS-PC01B-4C-PHSENH109-streamed-phsen_h_format0,None,"""time,ph_total,dissolved_oxygen,sea_water_practical_salinity,sea_water_temperature,sea_water_pressure,sea_water_electrical_conductivity,sea_water_density""",Single,None,lttb
CE02SHBP-LJ01D-10-PHSENH110,1,PH-CTD-FIXED,CE02SHBP-LJ01D-10-PHSENH110-streamed-phsen_h_format0,None,"""time,ph_total,dissolved_oxygen,sea_water_practical_salinity,sea_water_temperature,sea_water_pressure,sea_water_electrical_conductivity,sea_water_density""",Single,None,lttb
CE04OSBP-LJ01C-10-PHSEND107,1,PH-FIXED,CE04OSBP-LJ01C-10-PHSEND107-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure""",Single,None,lttb
CE04OSPS-SF01B-4B-VELPTD106,1,VELPT-PROFILER,CE04OSPS-SF01B-4B-VELPTD106-streamed-velpt_velocity_data,None,"""time,velpt_d_eastward_velocity,velpt_d_northward_velocity,velpt_d_upward_velocity,int_ctd_pressure,pitch_decidegree,roll_decidegree,sound_speed_dms""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS01SBPS-SF01A-4B-VELPTD102,1,VELPT-PROFILER,RS01SBPS-SF01A-4B-VELPTD102-streamed-velpt_velocity_data,None,"""time,velpt_d_eastward_velocity,velpt_d_northward_velocity,velpt_d_upward_velocity,int_ctd_pressure,pitch_decidegree,roll_decidegree,sound_speed_dms""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS03AXPS-SF03A-4B-VELPTD302,1,VELPT-PROFILER,RS03AXPS-SF03A-4B-VELPTD302-streamed-velpt_velocity_data,None,"""time,velpt_d_eastward_velocity,velpt_d_northward_velocity,velpt_d_upward_velocity,int_ctd_pressure,pitch_decidegree,roll_decidegree,sound_speed_dms""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS01SLBS-LJ01A-10-ADCPTE101,1,ADCP-PROFILER,RS01SLBS-LJ01A-10-ADCPTE101-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,depth_from_pressure,cell_length,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""2550,2924""",coarsen
RS01SUM2-MJ01B-12-ADCPSK101,1,ADCP-PROFILER,RS01SUM2-MJ01B-12-ADCPSK101-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,depth_from_pressure,cell_length,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""0,811""",coarsen
CE04OSBP-LJ01C-05-ADCPSI103,1,ADCP-PROFILER,CE04OSBP-LJ01C-05-ADCPSI103-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,depth_from_pressure,cell_length,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""0,581""",coarsen
CE02SHBP-LJ01D-05-ADCPTB104,1,ADCP-PROFILER,CE02SHBP-LJ01D-05-ADCPTB104-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,depth_from_pressure,cell_length,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""0,83""",coarsen
RS03AXBS-LJ03A-10-ADCPTE303,1,ADCP-PROFILER,RS03AXBS-LJ03A-10-ADCPTE303-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,depth_from_pressure,cell_length,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""2200,2600""",coarsen
RS03AXPS-PC03A-05-ADCPTD302,1,ADCP-PROFILER,RS03AXPS-PC03A-05-ADCPTD302-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,depth_from_pressure,cell_length,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""0,200""",coarsen
RS01SBPS-PC01A-05-ADCPTD102,1,ADCP-PROFILER,RS01SBPS-PC01A-05-ADCPTD102-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,depth_from_pressure,cell_length,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""0,200""",coarsen
RS03AXPS-PC03A-06-VADCPB301,1,ADCP-PROFILER,RS03AXPS-PC03A-06-VADCPB301-streamed-vadcp_b_velocity_beam,None,"""time,vadcp_b_beam_eastward,vadcp_b_beam_northward,vadcp_b_beam_vertical_true,vadcp_b_bin_depths,amplitude_beam1,amplitude_beam2,amplitude_beam3,amplitude_beam4""","""010,025,050,075,100,125,150,175""","""0,200""",coarsen
RS01SBPS-PC01A-06-VADCPB101,1,ADCP-PROFILER,RS01SBPS-PC01A-06-VADCPB101-streamed-vadcp_b_velocity_beam,None,"""time,vadcp_b_beam_eastward,vadcp_b_beam_northward,vadcp_b_beam_vertical_true,vadcp_b_bin_depths,amplitude_beam1,amplitude_beam2,amplitude_beam3,amplitude_beam4""","""010,025,050,075,100,125,150,175""","""0,200""",coarsen
RS03INT1-MJ03C-07-D1000A301,1,D1000-FIXED,RS03INT1-MJ03C-07-D1000A301-streamed-d1000_sample,None,"""time,temperature1,temperature2,temperature3""",Single,None,lttb
RS03INT1-MJ03C-10-TRHPHA301,1,TRHPH-FIXED,RS03INT1-MJ03C-10-TRHPHA301-streamed-trhph_sample,None,"""time,resistivity_5,resistivity_x1,resistivity_x5,,vent_fluid_temperature""",Single,None,lttb
RS03INT1-MJ03C-09-TRHPHA302,1,TRHPH-FIXED,RS03INT1-MJ03C-09-TRHPHA302-streamed-trhph_sample,None,"""time,resistivity_5,resistivity_x1,resistivity_x5,vent_fluid_temperature""",Single,None,lttb
RS03AXBS-MJ03A-06-PRESTA301,1,PREST-FIXED,RS03AXBS-MJ03A-06-PRESTA301-streamed-prest_real_time,None,"""seafloor_pressure,pressure_temp""",Single,None,lttb
RS01SLBS-MJ01A-06-PRESTA101,1,PREST-FIXED,RS01SLBS-MJ01A-06-PRESTA101-streamed-prest_real_time,None,"""seafloor_pressure,pressure_temp""",Single,None,lttb
RS01SUM1-LJ01B-09-PRESTB102,1,PREST-FIXED,RS01SUM1-LJ01B-09-PRESTB102-streamed-prest_real_time,None,"""seafloor_pressure,pressure_temp""",Single,None,lttb
RS03AXBS-LJ03A-05-HPIESA301,1,HPIES-FIXED,RS03AXBS-LJ03A-05-HPIESA301-streamed-echo_sounding,None,"""hpies_pressure_L1,hpies_temperature""",Single,None,lttb
RS01SLBS-LJ01A-05-HPIESA101,1,HPIES-FIXED,RS01SLBS-LJ01A-05-HPIESA101-streamed-echo_sounding,None,"""hpies_pressure_L1,hpies_temperature""",Single,None,lttb
RS03ASHS-MJ03B-07-TMPSFA301,1,TMPSF-FIXED,RS03ASHS-MJ03B-07-TMPSFA301-streamed-tmpsf_sample,None,"""temperature01,temperature02,temperature03,temperature04,temperature05,temperature06,temperature07,temperature08,temperature09,temperature10,temperature11,temperature12,temperature13,temperature14,temperature15,temperature16,temperature17,temperature18,temperature19,temperature20,temperature21,temperature22,temperature23,temperature24""",Single,None,lttb
RS01SLBS-MJ01A-12-VEL3DB101,1,VEL3D-FIXED,RS01SLBS-MJ01A-12-VEL3DB101-streamed-vel3d_b_sample,None,"""eastward_turbulent_velocity,northward_turbulent_velocity,upward_turbulent_velocity,pitch,roll""",Single,None,lttb
RS01SUM1-LJ01B-12-VEL3DB104,1,VEL3D-FIXED,RS01SUM1-LJ01B-12-VEL3DB104-streamed-vel3d_b_sample,None,"""eastward_turbulent_velocity,northward_turbulent_velocity,upward_turbulent_velocity,pitch,roll""",Single,None,lttb
RS03AXBS-MJ03A-12-VEL3DB301,1,VEL3D-FIXED,RS03AXBS-MJ03A-12-VEL3DB301-streamed-vel3d_b_sample,None,"""eastward_turbulent_velocity,northward_turbulent_velocity,upward_turbulent_velocity,pitch,roll""",Single,None,lttb
RS03INT2-MJ03D-12-VEL3DB304,1,VEL3D-FIXED,RS03INT2-MJ03D-12-VEL3DB304-streamed-vel3d_b_sample,None,"""eastward_turbulent_velocity,northward_turbulent_velocity,upward_turbulent_velocity,pitch,roll""",Single,None,lttb
RS03ASHS-MJ03B-09-BOTPTA304,1,BOTPT-FIXED,RS03ASHS-MJ03B-09-BOTPTA304-streamed-botpt_nano_sample_15sec,None,"""botsflu_10minrate,botsflu_5minrate,botsflu_meandepth,botsflu_predtide""",Single,None,lttb
RS03CCAL-MJ03F-05-BOTPTA301,1,BOTPT-FIXED,RS03CCAL-MJ03F-05-BOTPTA301-streamed-botpt_nano_sample_15sec,None,"""botsflu_10minrate,botsflu_5minrate,botsflu_meandepth,botsflu_predtide""",Single,None,lttb
RS03ECAL-MJ03E-06-BOTPTA302,1,BOTPT-FIXED,RS03ECAL-MJ03E-06-BOTPTA302-streamed-botpt_nano_sample_15sec,None,"""botsflu_10minrate,botsflu_5minrate,botsflu_meandepth,botsflu_predtide""",Single,None,lttb
RS03INT2-MJ03D-06-BOTPTA303,1,BOTPT-FIXED,RS03INT2-MJ03D-06-BOTPTA303-streamed-botpt_nano_sample_15sec,None,"""botsflu_10minrate,botsflu_5minrate,botsflu_meandepth,botsflu_predtide""",Single,None,lttb
CE04OSBP-LJ01C-07-VEL3DC107,2,VEL3D-FIXED,CE04OSBP-LJ01C-07-VEL3DC107-streamed-vel3d_cd_velocity_data,None,"""vel3d_c_eastward_turbulent_velocity,vel3d_c_northward_turbulent_velocity,vel3d_c_upward_turbulent_velocity,sea_water_pressure_mbar,correlation_beam_1,correlation_beam_2,correlation_beam_3,amplitude_beam_1,amplitude_beam_2,amplitude_beam_3""",Single,None,lttb
CE02SHBP-LJ01D-07-VEL3DC108,2,VEL3D-FIXED,CE02SHBP-LJ01D-07-VEL3DC108-streamed-vel3d_cd_velocity_data,None,"""vel3d_c_eastward_turbulent_velocity,vel3d_c_northward_turbulent_velocity,vel3d_c_upward_turbulent_velocity,sea_water_pressure_mbar,correlation_beam_1,correlation_beam_2,correlation_beam_3,amplitude_beam_1,amplitude_beam_2,amplitude_beam_3""",Single,None,lttb
RS03AXPS-SF03A-3B-OPTAAD301,2,OPTAA-PROFILER,RS03AXPS-SF03A-3B-OPTAAD301-streamed-optaa_sample,None,"""time,wavelength_a,wavelength_c,optical_absorption,beam_attenuation,a_reference_dark_counts,a_signal_dark_counts,c_reference_dark_counts,c_signal_dark_counts,int_ctd_pressure,external_temp_raw,internal_temp_raw""","10,025,050,075,100,100,000,000","0,200",coarsen
CE04OSPS-SF01B-3B-OPTAAD105,2,OPTAA-PROFILER,CE04OSPS-SF01B-3B-OPTAAD105-streamed-optaa_sample,None,"""time,wavelength_a,wavelength_c,optical_absorption,beam_attenuation,a_reference_dark_counts,a_signal_dark_counts,c_reference_dark_counts,c_signal_dark_counts,int_ctd_pressure,external_temp_raw,internal_temp_raw""","10,025,050,075,100,100,000,000","0,200",coarsen
RS01SBPS-SF01A-3B-OPTAAD101,2,OPTAA-PROFILER,RS01SBPS-SF01A-3B-OPTAAD101-streamed-optaa_sample,None,"""time,wavelength_a,wavelength_c,optical_absorption,beam_attenuation,a_reference_dark_counts,a_signal_dark_counts,c_reference_dark_counts,c_signal_dark_counts,int_ctd_pressure,external_temp_raw,internal_temp_raw""","10,025,050,075,100,100,000,000","0,200",coarsen
RS01SLBS-LJ01A-11-OPTAAC103,2,OPTAA-FIXED,RS01SLBS-LJ01A-11-OPTAAC103-streamed-optaa_sample,None,"""time,wavelength_a,wavelength_c,optical_absorption,beam_attenuation,a_reference_dark_counts,a_signal_dark_counts,c_reference_dark_counts,c_signal_dark_counts,int_ctd_pressure,external_temp_raw,internal_temp_raw""",Single,None,coarsen
CE04OSBP-LJ01C-08-OPTAAC104,2,OPTAA-FIXED,CE04OSBP-LJ01C-08-OPTAAC104-streamed-optaa_sample,None,"""time,wavelength_a,wavelength_c,optical_absorption,beam_attenuation,a_reference_dark_counts,a_signal_dark_counts,c_reference_dark_counts,c_signal_dark_counts,int_ctd_pressure,external_temp_raw,internal_temp_raw""",Single,None,coarsen
RS03AXBS-LJ03A-11-OPTAAC303,2,OPTAA-FIXED,RS03AXBS-LJ03A-11-OPTAAC303-streamed-optaa_sample,None,"""time,wavelength_a,wavelength_c,optical_absorption,beam_attenuation,a_reference_dark_counts,a_signal_dark_counts,c_reference_dark_counts,c_signal_dark_counts,int_ctd_pressure,external_temp_raw,internal_temp_raw""",Single,None,coarsen
CE02SHBP-LJ01D-08-OPTAAD106,2,OPTAA-FIXED,CE02SHBP-LJ01D-08-OPTAAD106-streamed-optaa_sample,None,"""time,wavelength_a,wavelength_c,optical_absorption,beam_attenuation,a_reference_dark_counts,a_signal_dark_counts,c_reference_dark_counts,c_signal_dark_counts,int_ctd_pressure,external_temp_raw,internal_temp_raw""",Single,None,coarsen
CE04OSPS-SF01B-3D-SPKIRA102,2,SPKIR-PROFILER,CE04OSPS-SF01B-3D-SPKIRA102-streamed-spkir_data_record,None,"""time,spkir_downwelling_vector,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",coarsen
RS01SBPS-SF01A-3D-SPKIRA101,2,SPKIR-PROFILER,RS01SBPS-SF01A-3D-SPKIRA101-streamed-spkir_data_record,None,"""time,spkir_downwelling_vector,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",coarsen
RS03AXPS-SF03A-3D-SPKIRA301,2,SPKIR-PROFILER,RS03AXPS-SF03A-3D-SPKIRA301-streamed-spkir_data_record,None,"""time,spkir_downwelling_vector,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",coarsen
